SK_ID_CURR,TARGET
100001,0.5
100005,0.7
100013,0.4
100028,0.2
100038,0.4
100042,0.1
100057,0.5
100065,0.6
100066,0.2
100067,0.4
100074,0.2
100090,0.5
100091,0.7
100092,0.4
100106,0.5
100107,0.2
100109,0.4
100117,0.6
100128,0.1
100141,0.5
100150,0
100168,0.4
100169,0
100170,0.3
100171,0.5
100172,0.7
100184,0.2
100187,0.2
100212,0.4
100222,0.4
100223,0.2
100232,0.5
100241,0.6
100245,0.1
100253,0.1
100256,0.2
100271,0.4
100278,0.4
100280,0.5
100306,0.3
100311,0.6
100312,0.4
100330,0.2
100331,0.3
100352,0.5
100358,0.3
100367,0.3
100382,0.2
100384,0.3
100385,0.6
100386,0.5
100399,0.2
100404,0.2
100416,0.4
100422,0.5
100426,0.5
100438,0.2
100444,0.7
100445,0.3
100446,0.5
100447,0.6
100450,0.5
100466,0.4
100483,0.5
100484,0.2
100494,0.4
100510,0.1
100512,0.3
100517,0.2
100548,0.2
100551,0.6
100552,0.4
100553,0
100561,0.2
100568,0.4
100569,0.6
100591,0.3
100592,0.2
100602,0.4
100607,0.2
100613,0.5
100617,0.6
100618,0.5
100622,0.7
100625,0.6
100677,0.1
100699,0.2
100702,0.6
100711,0.4
100729,0.6
100740,0.6
100744,0.6
100745,0.6
100747,0.2
100751,0.2
100752,0.2
100753,0.4
100754,0.3
100760,0.6
100762,0.6
100763,0.2
100765,0.2
100770,0.1
100772,0.4
100777,0.5
100791,0.2
100792,0
100797,0.3
100823,0.5
100826,0.4
100830,0.6
100836,0.6
100872,0.3
100910,0.2
100913,0.3
100918,0.2
100931,0.2
100952,0.5
100953,0.6
100965,0.4
100970,0.5
100982,0.7
100983,0.2
100984,0.2
100987,0.4
100997,0.6
100998,0.5
101002,0.7
101005,0.7
101008,0.6
101020,0.6
101021,0.5
101024,0.3
101025,0.6
101026,0.6
101031,0.1
101041,0.1
101051,0.2
101055,0.3
101056,0.5
101057,0.4
101064,0.4
101079,0.2
101087,0.5
101090,0.1
101092,0.6
101097,0.8
101099,0.1
101107,0.7
101118,0.6
101125,0.5
101126,0.4
101128,0.4
101136,0.5
101140,0.6
101149,0.1
101160,0.3
101169,0.5
101181,0.4
101186,0.5
101190,0.5
101193,0.7
101194,0.2
101198,0.3
101200,0.2
101204,0.3
101211,0.7
101213,0.5
101223,0.3
101225,0.4
101237,0.4
101243,0.7
101244,0.6
101258,0.6
101259,0.5
101268,0.5
101269,0.1
101271,0.6
101279,0.6
101281,0.5
101287,0.1
101292,0.3
101294,0.2
101296,0.5
101297,0.5
101299,0.1
101301,0.2
101305,0.5
101308,0.1
101318,0.1
101327,0.3
101329,0.5
101332,0.5
101337,0.6
101343,0.1
101345,0.5
101346,0.5
101353,0.1
101354,0.6
101355,0.3
101356,0.1
101362,0.5
101363,0.2
101365,0.3
101366,0.5
101367,0.6
101368,0
101374,0.3
101380,0.2
101383,0.1
101398,0.2
101399,0.5
101401,0.2
101412,0.4
101426,0.5
101427,0.6
101428,0.3
101429,0.3
101434,0
101440,0.7
101448,0.6
101449,0.2
101465,0.1
101467,0.1
101472,0.7
101478,0.4
101497,0.3
101504,0.3
101547,0.5
101548,0.4
101555,0.1
101570,0.5
101572,0.2
101578,0.6
101580,0.2
101588,0.5
101602,0.1
101610,0.4
101614,0.5
101616,0.5
101643,0.5
101644,0.1
101649,0.2
101650,0.1
101665,0
101667,0.7
101669,0.4
101674,0.4
101675,0.5
101678,0.6
101682,0.3
101686,0.7
101697,0.4
101700,0.6
101711,0.2
101714,0.2
101715,0.7
101728,0.7
101732,0.5
101757,0.3
101758,0.2
101759,0.5
101762,0.1
101764,0.2
101780,0.6
101784,0.2
101789,0.5
101816,0.6
101819,0.1
101827,0
101863,0.1
101867,0.5
101870,0.1
101873,0.6
101878,0.6
101879,0.3
101880,0.4
101887,0.5
101897,0.4
101901,0.1
101903,0.2
101920,0.1
101921,0.3
101922,0.5
101961,0.5
101962,0.1
101971,0.1
101976,0.2
102002,0.7
102005,0.4
102007,0.3
102017,0.3
102019,0.7
102029,0.1
102051,0.4
102052,0
102054,0.4
102062,0.7
102067,0.3
102068,0.2
102070,0.3
102090,0.2
